BluetoothTracker-0 is close to door 2 at location 53.3762186822289, -6.52740644601692 -- 53.376277685, -6.527380943 dat 2025-02-14 09:35:55.893182
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:54:20.193513'}
BluetoothTracker-0 is close to door 2 at location 53.376223503797135, -6.527408360704296 -- 53.376277685, -6.527380943 dat 2025-02-14 09:54:40.484083
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:54:40.485132'}
BluetoothTracker-0 is close to door 3 at location 53.37731961437095, -6.526619907523558 -- 53.377347103, -6.526683569 dat 2025-02-14 09:55:33.219830
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:55:33.220839'}
BluetoothTracker-0 is close to door 3 at location 53.377314943922244, -6.526719753326318 -- 53.377347103, -6.526683569 dat 2025-02-14 09:56:07.700314
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:56:07.701769'}
BluetoothTracker-0 is close to door 2 at location 53.376270436654075, -6.5274269981567565 -- 53.376277685, -6.527380943 dat 2025-02-14 09:57:01.299284
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:57:01.300292'}
BluetoothTracker-0 is close to door 2 at location 53.376222474085345, -6.52740795179664 -- 53.376277685, -6.527380943 dat 2025-02-14 09:57:20.531085
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:57:20.531085'}
BluetoothTracker-0 is close to door 3 at location 53.37731713985801, -6.526672808164828 -- 53.377347103, -6.526683569 dat 2025-02-14 09:58:14.210533
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:58:14.210533'}
BluetoothTracker-0 is close to door 3 at location 53.377314569152475, -6.526727765230717 -- 53.377347103, -6.526683569 dat 2025-02-14 09:58:47.625266
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:58:47.625266'}
BluetoothTracker-0 is close to door 2 at location 53.37627217115529, -6.527427686942525 -- 53.376277685, -6.527380943 dat 2025-02-14 09:59:41.334191
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T09:59:41.334191'}
BluetoothTracker-0 is close to door 2 at location 53.37622062086298, -6.5274072158656535 -- 53.376277685, -6.527380943 dat 2025-02-14 10:00:00.549497
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:00:00.550507'}
BluetoothTracker-0 is close to door 3 at location 53.37731744739447, -6.526666233587807 -- 53.377347103, -6.526683569 dat 2025-02-14 10:00:54.148757
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:00:54.152222'}
BluetoothTracker-0 is close to door 3 at location 53.377314443108126, -6.526730459832566 -- 53.377347103, -6.526683569 dat 2025-02-14 10:01:27.633330
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:01:27.633330'}
BluetoothTracker-0 is close to door 2 at location 53.376274825948414, -6.527428741184348 -- 53.376277685, -6.527380943 dat 2025-02-14 10:02:21.337063
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:02:21.337063'}
BluetoothTracker-0 is close to door 2 at location 53.37622170930088, -6.527407648093967 -- 53.376277685, -6.527380943 dat 2025-02-14 10:02:40.593741
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:02:40.593741'}
BluetoothTracker-0 is close to door 3 at location 53.37731695244378, -6.526676814744389 -- 53.377347103, -6.526683569 dat 2025-02-14 10:03:34.347723
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:03:34.347723'}
BluetoothTracker-0 is close to door 3 at location 53.37731467070515, -6.526725594217055 -- 53.377347103, -6.526683569 dat 2025-02-14 10:04:07.729383
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:04:07.729383'}
BluetoothTracker-0 is close to door 2 at location 53.3762748501723, -6.527428750803867 -- 53.376277685, -6.527380943 dat 2025-02-14 10:05:01.350025
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:05:01.351039'}
BluetoothTracker-0 is close to door 2 at location 53.376221648316076, -6.527407623876362 -- 53.376277685, -6.527380943 dat 2025-02-14 10:05:20.585454
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:05:20.585454'}
BluetoothTracker-0 is close to door 3 at location 53.37731730660955, -6.526669243316343 -- 53.377347103, -6.526683569 dat 2025-02-14 10:06:14.217282
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:06:14.217282'}
BluetoothTracker-0 is close to door 3 at location 53.37731453911187, -6.526728407444885 -- 53.377347103, -6.526683569 dat 2025-02-14 10:06:47.685154
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:06:47.686084'}
BluetoothTracker-0 is close to door 2 at location 53.376273262549795, -6.5274281203449345 -- 53.376277685, -6.527380943 dat 2025-02-14 10:07:41.380047
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:07:41.380047'}
BluetoothTracker-0 is close to door 2 at location 53.376221465501246, -6.527407551278977 -- 53.376277685, -6.527380943 dat 2025-02-14 10:08:00.645908
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:08:00.645908'}
BluetoothTracker-0 is close to door 3 at location 53.37731732143113, -6.5266689264575914 -- 53.377347103, -6.526683569 dat 2025-02-14 10:08:54.279388
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:08:54.279388'}
BluetoothTracker-0 is close to door 3 at location 53.37731426613465, -6.52673424320762 -- 53.377347103, -6.526683569 dat 2025-02-14 10:09:27.648857
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:09:27.648857'}
BluetoothTracker-0 is close to door 2 at location 53.376278183348404, -6.527430074437568 -- 53.376277685, -6.527380943 dat 2025-02-14 10:10:21.354496
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:10:21.356509'}
BluetoothTracker-0 is close to door 2 at location 53.376221033290804, -6.527407379644387 -- 53.376277685, -6.527380943 dat 2025-02-14 10:10:41.580006
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:10:41.580801'}
BluetoothTracker-0 is close to door 3 at location 53.37731745715452, -6.526666024935372 -- 53.377347103, -6.526683569 dat 2025-02-14 10:11:35.169006
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:11:35.169006'}
BluetoothTracker-0 is close to door 3 at location 53.3773141112248, -6.526737554901878 -- 53.377347103, -6.526683569 dat 2025-02-14 10:12:08.532028
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:12:08.532408'}
BluetoothTracker-0 is close to door 2 at location 53.37628325849972, -6.52743208982503 -- 53.376277685, -6.527380943 dat 2025-02-14 10:13:02.201163
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:13:02.201163'}
BluetoothTracker-0 is close to door 2 at location 53.37621999190485, -6.527406966100818 -- 53.376277685, -6.527380943 dat 2025-02-14 10:13:22.435745
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:13:22.435745'}
BluetoothTracker-0 is close to door 3 at location 53.377317255901794, -6.526670327357056 -- 53.377347103, -6.526683569 dat 2025-02-14 10:14:16.118486
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:14:16.119481'}
BluetoothTracker-0 is close to door 3 at location 53.37731459148405, -6.526727287821833 -- 53.377347103, -6.526683569 dat 2025-02-14 10:14:49.584679
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:14:49.585760'}
BluetoothTracker-0 is close to door 2 at location 53.376275660282964, -6.527429072505974 -- 53.376277685, -6.527380943 dat 2025-02-14 10:15:43.218199
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:15:43.219390'}
BluetoothTracker-0 is close to door 2 at location 53.376223255835406, -6.527408262236502 -- 53.376277685, -6.527380943 dat 2025-02-14 10:16:02.497313
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:16:02.497313'}
BluetoothTracker-0 is close to door 3 at location 53.37731960351298, -6.526620139647517 -- 53.377347103, -6.526683569 dat 2025-02-14 10:16:55.247425
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:16:55.249442'}
BluetoothTracker-0 is close to door 3 at location 53.377315072639625, -6.526717001579969 -- 53.377347103, -6.526683569 dat 2025-02-14 10:17:29.769020
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:17:29.769020'}
BluetoothTracker-0 is close to door 2 at location 53.37625793683763, -6.527422034369128 -- 53.376277685, -6.527380943 dat 2025-02-14 10:18:23.554040
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:18:23.556063'}
BluetoothTracker-0 is close to door 2 at location 53.376221693566144, -6.527407641845563 -- 53.376277685, -6.527380943 dat 2025-02-14 10:18:42.823633
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:18:42.823633'}
BluetoothTracker-0 is close to door 3 at location 53.377319622723675, -6.526619728957224 -- 53.377347103, -6.526683569 dat 2025-02-14 10:19:35.589819
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:19:35.589819'}
BluetoothTracker-0 is close to door 3 at location 53.377314794688274, -6.526722943680571 -- 53.377347103, -6.526683569 dat 2025-02-14 10:20:10.014088
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:20:10.014088'}
BluetoothTracker-0 is close to door 2 at location 53.37627044370933, -6.52742700095846 -- 53.376277685, -6.527380943 dat 2025-02-14 10:21:03.671835
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:21:03.672849'}
BluetoothTracker-0 is close to door 2 at location 53.37622094181359, -6.5274073433179804 -- 53.376277685, -6.527380943 dat 2025-02-14 10:21:22.905257
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:21:22.905257'}
BluetoothTracker-0 is close to door 3 at location 53.3773171249318, -6.526673127260262 -- 53.377347103, -6.526683569 dat 2025-02-14 10:22:16.621641
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:22:16.621641'}
BluetoothTracker-0 is close to door 3 at location 53.3773145814854, -6.526727501574995 -- 53.377347103, -6.526683569 dat 2025-02-14 10:22:50.035763
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:22:50.035763'}
BluetoothTracker-0 is close to door 2 at location 53.3762823942311, -6.527431746616319 -- 53.376277685, -6.527380943 dat 2025-02-14 10:23:43.547675
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:23:43.547675'}
BluetoothTracker-0 is close to door 2 at location 53.37622257738898, -6.527407992819428 -- 53.376277685, -6.527380943 dat 2025-02-14 10:24:03.771606
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:24:03.771606'}
BluetoothTracker-0 is close to door 3 at location 53.37731703126743, -6.526675129636276 -- 53.377347103, -6.526683569 dat 2025-02-14 10:24:57.488013
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:24:57.488013'}
BluetoothTracker-0 is close to door 3 at location 53.37731461694096, -6.52672674359889 -- 53.377347103, -6.526683569 dat 2025-02-14 10:25:30.880507
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:25:30.881980'}
BluetoothTracker-0 is close to door 2 at location 53.37627393468964, -6.527428387257608 -- 53.376277685, -6.527380943 dat 2025-02-14 10:26:24.539381
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:26:24.540480'}
BluetoothTracker-0 is close to door 2 at location 53.37622251588392, -6.527407968395223 -- 53.376277685, -6.527380943 dat 2025-02-14 10:26:43.780388
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:26:43.780388'}
BluetoothTracker-0 is close to door 3 at location 53.377317176220096, -6.52667203080869 -- 53.377347103, -6.526683569 dat 2025-02-14 10:27:37.446457
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-6 with payload: {'device_id': 'NFCReader-6', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:27:37.446457'}
BluetoothTracker-0 is close to door 3 at location 53.37731451327538, -6.52672895978262 -- 53.377347103, -6.526683569 dat 2025-02-14 10:28:10.855239
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-7 with payload: {'device_id': 'NFCReader-7', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:28:10.855239'}
BluetoothTracker-0 is close to door 2 at location 53.37627395789838, -6.527428396474004 -- 53.376277685, -6.527380943 dat 2025-02-14 10:29:04.549806
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-5 with payload: {'device_id': 'NFCReader-5', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:29:04.549806'}
BluetoothTracker-0 is close to door 2 at location 53.376221728271396, -6.527407655627325 -- 53.376277685, -6.527380943 dat 2025-02-14 10:29:23.804401
Published door entry for BluetoothTracker-0 to ISAS/devices/NFC/NFCReader-4 with payload: {'device_id': 'NFCReader-4', 'uid': '1C553B4F', 'timestamp': '2025-02-14T10:29:23.804401'}
BluetoothTracker-0 is close to door 3 at location 53.37731736555457, -6.52666798317783 -- 53.377347103, -6.526683569 dat 2025-02-14 10:30:17.413571
